neighbourhood_group_cleansed,id,price,accommodates,availability_60,minimum_nights,revenue,std
Ciutat Vella,13935772.33,100.15,3.61,20.27,33.27,1881.41,1092.9
Eixample,11959548.87,160.6,4.0,14.6,38.4,3899.13,7272.2
Gràcia,6577046.5,75.0,3.0,11.5,31.25,1770.31,604.03
Sant Martí,15976273.86,86.57,3.86,31.29,31.71,1204.36,992.01
Sants-Montjuïc,13166720.2,64.4,3.6,9.0,36.8,1691.8,802.72
Sarrià-Sant Gervasi,3582210.0,60.0,5.0,0.0,31.0,1800.0,
