,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
13161,22182277,Ciutat Vella,32.0,el Barri Gòtic,3,103,33,698.67
13179,22199213,Eixample,79.0,l'Antiga Esquerra de l'Eixample,4,163,32,1329.83
13197,22217914,Sant Martí,45.0,el Camp de l'Arpa del Clot,3,319,32,172.5
13203,22218923,Ciutat Vella,49.0,el Barri Gòtic,6,269,31,392.0
13282,22318219,Ciutat Vella,53.0,el Raval,3,337,32,123.67
13302,22342208,Sarrià-Sant Gervasi,65.0,el Putxet i el Farró,6,260,31,568.75
13367,22428136,Ciutat Vella,59.0,el Raval,2,179,33,914.5
13383,22452714,Eixample,40.0,Sant Antoni,2,254,32,370.0
13385,22458687,Ciutat Vella,65.0,el Raval,2,320,32,243.75
13399,22464535,Sants-Montjuïc,89.0,el Poble Sec,4,185,31,1335.0
13421,22515389,Ciutat Vella,37.0,la Barceloneta,4,215,88,462.5
13527,22668646,Ciutat Vella,10.0,"Sant Pere, Santa Caterina i la Ribera",4,364,31,0.83
13579,22739717,Ciutat Vella,65.0,el Raval,2,326,32,211.25
13594,22756444,Ciutat Vella,27.0,el Barri Gòtic,2,95,32,607.5
13595,22756586,Ciutat Vella,79.0,el Barri Gòtic,4,272,31,612.25
13607,22767977,Sarrià-Sant Gervasi,47.0,el Putxet i el Farró,4,327,32,148.83
13616,22784396,Eixample,60.0,la Dreta de l'Eixample,2,347,31,90.0
13652,22836980,Gràcia,70.0,la Vila de Gràcia,2,365,32,0.0
13711,22915172,Ciutat Vella,34.0,"Sant Pere, Santa Caterina i la Ribera",2,256,32,308.83
