neighbourhood_group_cleansed,revenue
Ciutat Vella,1483.19
Eixample,1638.18
Gràcia,1282.71
Horta-Guinardó,1165.42
Les Corts,2969.52
Nou Barris,692.08
Sant Andreu,1276.69
Sant Martí,1471.33
Sants-Montjuïc,1322.33
Sarrià-Sant Gervasi,1509.19
